id	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
CZ072	6261	6002	6243	10097	596626.39	590780
CZ080	13402	12974	12711	21773	1283911	1249897
DE111	5523	5137	25285	32855	581961	597176
DE112	3399	2903	11508	14686	359205	372755
DE113	4600	4353	12175	16211	494686	514503
DE114	2073	2398	5154	6486	255207	255807
DE115	4733	4334	10861	15822	491690	515146
DE116	3419	3707	8397	10871	404378	417131
DE117	1076	1164	5035	5052	120012	121627
DE118	2761	2980	6462	10165	313874	330302
DE119	984	1008	2484	3516	106130	109900
DE11A	1650	1780	4185	6020	183960	189288
DE11B	1071	1299	2991	4062	137008	135387
DE11C	1017	1317	3175	3767	137272	133449
DE11D	2702	2999	6411	9692	312788	314624
DE121	364	713	1659	2350	52546	54853
DE122	2600	2681	10421	13351	276536	288917
DE123	3535	3989	8867	12319	413257	431519
DE124	1718	2161	5204	7252	222184	227929
DE125	1301	1153	4929	6203	139285	145311
DE126	2794	2959	11161	14798	308903	309795
DE127	1066	1539	2935	3592	148592	149572
DE128	4388	5039	9913	13837	519587	534989
DE129	1043	1253	3208	4225	117606	119423
DE12A	1291	1396	2623	3448	157324	159644
DE12B	1539	1591	3385	4433	190053	195457
DE12C	1054	1097	2666	3742	120254	121865
DE131	2067	1784	5988	8021	200980	219430
DE132	2067	2098	3903	5384	237217	250183
DE133	1316	1348	2612	3503	149043	157629
DE134	3546	3852	9482	13115	403671	417754
DE135	1232	1413	3214	4239	140058	141551
DE136	1744	2172	4674	6440	209171	209709
DE137	1317	1230	3027	4566	131505	135306
DE138	2176	2517	5476	7703	263181	275120
DE139	1788	1939	4431	5905	215044	222528
DE13A	1355	1562	3004	4062	164616	167200
DE141	2344	2441	6015	8083	275202	281580
DE142	1954	1519	3886	5342	205666	217482
DE143	1414	1826	4128	5297	192690	191531
DE144	1153	1118	4794	6696	115701	121434
DE145	1746	1604	3314	4867	183304	190212
DE146	1694	1571	4033	6679	180271	189089
DE147	1750	1849	4746	7199	196377	206759
DE148	2443	2478	6208	8814	265765	276470
DE149	1102	1160	2810	3718	132280	132419
DE211	1178	1137	4630	7076	113677	123055
DE212	14158	10579	53988	70408	1188897	1311573
DE213	550	572	1903	2351	58432	60674
DE214	869	1085	2730	4574	107425	108773
DE215	765	1173	1967	2659	98773	102383
DE216	1026	1092	2247	3183	113453	120834
DE217	1247	1246	1983	2882	126217	136272
DE218	1132	1056	1984	3027	114699	126400
DE219	1137	1013	1644	2621	116311	124419
DE21A	1178	960	1988	2816	110874	124876
DE21B	1601	1133	4759	7403	147468	164692
DE21C	1630	1641	2864	3935	188897	201148
DE21D	597	1026	1672	2020	86054	86872
DE21E	975	901	1953	2807	103064	113311
DE21F	779	942	1799	2701	89861	95267
DE21G	877	1204	2250	3226	107246	110536
DE21H	2970	2704	16558	25872	285546	315462
DE21I	834	868	1726	2558	87898	91067
DE21J	975	969	1995	3105	108711	116407
DE21K	2040	2417	4076	6553	230560	248047
DE21L	1095	1137	3114	4759	121723	129515
DE21M	1480	1661	3609	4964	165790	170546
DE21N	1098	1265	2538	3727	124467	131317
DE221	521	725	1933	2838	58420	62629
DE222	350	549	1845	2865	50270	50741
DE223	354	531	1396	2009	44044	44625
DE224	873	1179	2504	3472	114503	117594
DE225	581	786	1317	1678	82239	80427
DE226	1044	1068	1944	2710	107804	113088
DE227	1349	1215	2429	3852	138524	148286
DE228	1478	1818	3018	4194	184577	188462
DE229	589	890	1392	1927	82516	80195
