id	emp2008	act2008	unemp2008	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
SE22	661.2	714.3	53.1	16529	13656	26050	36467	1271840	1351257
SE23	924.4	984.6	60.3	21722	18105	37891	54363	1759457	1838691
SE31	391.4	419.1	27.7	8011	9869	16473	21925	843437	825000
SE32	173.2	186.5	13.3	3880	4449	7845	10544	383650	370386
SE33	243.4	260.7	17.3	5245	5451	10021	15060	518276	508195
SI01	527.8	556.9	29.1	10943	10527	13042	20417	1076892	1075365
SI02	468.3	484.7	16.4	10874	7781	15435	25717	901442	934904
SK01	333.4	345.1	11.7	6840	5792	11839	25657	617599	610850
SK02	892.8	954.1	61.3	17286	19410	16124	32352	1876951	1863740
SK03	578.3	665.3	87	13788	13819	10059	19930	1354693	1350366
SK04	629.3	724.9	95.7	19446	14143	10557	20099	1544139	1576042
TR10	3921.7	4357.1	435.4	220464	NA	105249	229459	9692578.92	12573836
TR21	544	603.3	59.3	18321	NA	11148	22556	1335375.54	1458114
TR22	549.5	585.8	36.3	17582	NA	9998	17920	1527271.38	1594441
TR31	1170.7	1314.2	143.4	53970	NA	30814	54244	3296245.2	3739353
TR32	898.5	993.8	95.4	38522	NA	17578	29908	2475272.74	2620452
TR33	871.6	937	65.4	41828	NA	17263	30075	3021436.89	2939517
TR41	1150	1273	123	51614	NA	22906	55031	2956816.26	3368502
TR42	964.5	1067.6	103.2	49051	NA	28729	51056	2667165.18	3048651
TR51	1351.7	1514.7	162.9	74028	NA	39844	70680	3923080.43	4466756
TR52	729.7	802.7	73	40083	NA	12361	19684	2383909.7	2185131
TR61	944.4	1031.7	87.4	40167	NA	15240	31989	2411142.61	2460321
TR62	997.9	1165.8	168	67795	NA	25583	33133	3425253.53	3602588
TR63	724.9	843.5	118.6	62736	NA	12147	21248	2680237.22	2843518
TR71	359	390.8	31.8	23911	NA	9590	12565	1673573.04	1481248
TR72	572.2	636.4	64.2	42002	NA	10183	19479	2476141.75	2295679
TR81	390.8	415.1	24.3	14180	NA	6309	11073	1032487.98	1016484
TR82	275.2	289.5	14.2	8160	NA	4024	6107	877422.93	732790
TR83	1008.5	1075.9	67.5	40595	NA	14462	23443	2983489.69	2728183
TR90	1074.4	1122.8	48.4	33915	NA	13902	21946	3101523.37	2488652
